date,prizeId,qty
2025-12-26,MONTSANT,10
2025-12-26,SIDRAL,8
2025-12-26,SUERTEPROXIMA,500
2025-12-27,TAZAS,45
2025-12-27,BOMBILLOS,80
2025-12-27,SUPEREXITO-20,10
2025-12-27,SUPEREXITO-25,0
2025-12-27,DMUJERES-20,0
2025-12-27,POLIPAPEL-10,4
2025-12-27,KRISPYKREME,35
2025-12-27,TRIODONAS,10
2025-12-27,ENTRADASCINE,30
2025-12-27,PARRILLAASADORA,
2025-12-27,AIRFRYER,0
2025-12-27,LICUADORA,1
2025-12-27,SANDUCHERA,0
2025-12-27,OLLAARROCERA,0
2025-12-27,CAFETERA,0
2025-12-27,BATIDORAMANO,0
2025-12-27,PARRILLASANDUCHERA,0
2025-12-27,SPLIT,0
2025-12-27,TV65,0
2025-12-27,TV55,1
2025-12-27,PARLANTERECARGABLE,0
2025-12-27,CELULARREDNI,0
2025-12-27,REFRIGERADORA,0
2025-12-27,MIMOSAFRUTOSROJOS,0
2025-12-27,GRANDDUVALBLANCO375CC,0
2025-12-27,GRANDDUVAL750CC,0
2025-12-27,MONTSANT,10
2025-12-27,SIDRAL,8
2025-12-27,SUERTEPROXIMA,500
2025-12-28,TAZAS,45
2025-12-28,BOMBILLOS,80
2025-12-28,SUPEREXITO-20,10
2025-12-28,SUPEREXITO-25,0
2025-12-28,DMUJERES-20,0
2025-12-28,POLIPAPEL-10,4
2025-12-28,KRISPYKREME,40
2025-12-28,TRIODONAS,10
2025-12-28,ENTRADASCINE,30
2025-12-28,PARRILLAASADORA,
2025-12-28,AIRFRYER,0
2025-12-28,LICUADORA,1
2025-12-28,SANDUCHERA,0
2025-12-28,OLLAARROCERA,0
2025-12-28,CAFETERA,0
2025-12-28,BATIDORAMANO,0
2025-12-28,PARRILLASANDUCHERA,0
2025-12-28,SPLIT,1
2025-12-28,TV65,0
2025-12-28,TV55,0
2025-12-28,PARLANTERECARGABLE,0
2025-12-28,CELULARREDNI,0
2025-12-28,REFRIGERADORA,0
2025-12-28,MIMOSAFRUTOSROJOS,0
2025-12-28,GRANDDUVALBLANCO375CC,0
2025-12-28,GRANDDUVAL750CC,0
2025-12-28,MONTSANT,10
2025-12-28,SIDRAL,8
2025-12-28,SUERTEPROXIMA,500
